filename,width,height,class,xmin,ymin,xmax,ymax
car (1029).JPEG,305,165,dent,151,64,177,134
car (103).JPEG,259,194,intense_damage,134,74,222,168
car (1030).JPEG,259,194,scratch,32,84,89,131
car (1030).JPEG,259,194,scratch,148,66,213,87
car (1030).JPEG,259,194,dent,48,72,117,102
car (1030).JPEG,259,194,dent,130,59,206,86
car (1031).JPEG,194,259,intense_damage,16,97,159,197
car (1032).JPEG,259,194,intense_damage,116,72,221,149
car (1033).jpeg,260,194,dent,113,74,162,137
car (1033).jpeg,260,194,dent,39,94,129,149
car (1034).JPEG,259,194,dent,149,76,205,131
car (1035).JPEG,299,168,intense_damage,0,18,296,134
car (1036).JPEG,299,168,scratch,143,91,227,145
car (1036).JPEG,299,168,intense_damage,41,30,228,95
car (1037).JPEG,259,194,intense_damage,83,55,221,124
car (1038).JPEG,299,168,intense_damage,126,78,180,126
car (1039).JPEG,300,168,dent,129,50,214,125
car (104).JPEG,284,177,intense_damage,82,98,157,154
car (1040).JPEG,274,184,intense_damage,112,63,203,126
car (1041).JPEG,259,194,dent,48,14,165,68
car (1041).JPEG,259,194,intense_damage,166,62,230,158
car (1042).JPEG,300,168,intense_damage,86,68,177,93
car (1042).JPEG,300,168,dent,100,85,133,114
car (1043).JPEG,259,194,intense_damage,151,85,240,127
car (1044).JPEG,259,194,scratch,119,62,210,130
car (1044).JPEG,259,194,scratch,210,35,258,69
car (1044).JPEG,259,194,scratch,18,107,74,156
car (1044).JPEG,259,194,scratch,78,98,116,143
car (1045).JPEG,300,168,intense_damage,100,63,250,113
car (1046).JPEG,259,194,dent,45,54,113,127
car (1047).JPEG,259,194,dent,155,69,210,136
car (1047).JPEG,259,194,dent,138,123,162,154
car (1048).JPEG,267,189,intense_damage,123,62,264,168
car (1049).JPEG,307,164,dent,100,37,144,88
car (1049).JPEG,307,164,dent,151,69,234,132
car (105).JPEG,299,168,intense_damage,35,39,271,120
car (1050).JPEG,259,194,intense_damage,98,84,156,105
car (1050).JPEG,259,194,intense_damage,21,88,97,146
car (1051).JPEG,289,174,dent,33,85,55,113
car (1051).JPEG,289,174,intense_damage,102,41,196,68
car (1052).JPEG,259,194,intense_damage,42,59,174,161
car (1053).JPEG,300,168,dent,136,84,216,110
car (1054).JPEG,259,194,dent,23,68,116,118
car (1054).JPEG,259,194,intense_damage,195,51,255,169
car (1054).JPEG,259,194,dent,121,65,192,158
car (1055).JPEG,259,194,dent,3,63,60,139
car (1055).JPEG,259,194,dent,77,42,227,114
car (1056).JPEG,259,194,dent,73,82,118,113
car (1056).JPEG,259,194,dent,125,74,174,106
car (1057).JPEG,259,194,dent,219,93,258,132
car (1058).JPEG,259,194,intense_damage,118,67,248,124
car (1059).JPEG,259,194,dent,92,77,114,118
car (1059).JPEG,259,194,dent,112,79,149,101
car (1059).JPEG,259,194,dent,145,86,187,139
car (106).JPEG,254,198,scratch,161,143,220,184
car (1060).JPEG,259,194,scratch,26,111,102,170
car (1060).JPEG,259,194,scratch,78,55,121,96
car (1060).JPEG,259,194,dent,66,87,160,119
car (1060).JPEG,259,194,scratch,145,66,193,96
car (1061).JPEG,275,183,dent,118,66,139,124
car (1061).JPEG,275,183,scratch,156,94,187,107
car (1061).JPEG,275,183,scratch,147,93,156,131
car (1062).JPEG,259,194,dent,85,94,129,135
car (1062).JPEG,259,194,dent,116,50,166,99
car (1063).JPEG,276,183,intense_damage,159,96,232,126
car (1064).JPEG,259,194,dent,162,138,201,165
car (1064).JPEG,259,194,intense_damage,97,66,177,121
car (1065).JPEG,275,183,dent,97,25,218,118
car (1066).jpeg,275,183,dent,90,73,168,127
car (1067).JPEG,259,194,intense_damage,34,58,132,91
car (1067).JPEG,259,194,intense_damage,111,35,156,69
car (1068).JPEG,259,194,intense_damage,146,52,190,92
car (1068).JPEG,259,194,intense_damage,66,62,147,105
car (1069).JPEG,259,194,intense_damage,27,62,116,144
car (107).JPEG,300,168,intense_damage,89,49,168,121
car (1070).jpeg,225,225,dent,88,99,170,169
car (1070).jpeg,225,225,scratch,91,136,130,160
car (1071).JPEG,300,168,intense_damage,11,29,130,138
car (1071).JPEG,300,168,intense_damage,141,25,300,125
car (1072).JPEG,299,168,dent,10,46,135,85
car (1072).JPEG,299,168,dent,139,41,193,107
car (1072).JPEG,299,168,dent,197,55,281,95
car (1073).JPEG,275,183,dent,122,85,180,149
car (1073).JPEG,275,183,dent,42,77,77,139
car (1073).JPEG,275,183,dent,131,36,173,102
car (1074).JPEG,275,183,intense_damage,30,52,245,147
car (1075).JPEG,259,194,intense_damage,57,20,220,99
car (1076).JPEG,275,183,dent,52,22,236,121
car (1077).JPEG,302,167,dent,204,44,245,95
car (1078).JPEG,259,194,intense_damage,43,33,223,124
car (1079).JPEG,275,183,dent,172,82,248,148
car (108).JPEG,233,216,dent,70,72,180,193
car (108).JPEG,233,216,dent,28,9,122,91
car (1080).JPEG,313,161,intense_damage,35,31,257,126
car (1081).JPEG,259,194,intense_damage,130,44,200,91
car (1081).JPEG,259,194,dent,68,75,91,105
car (1082).JPEG,277,182,intense_damage,87,48,185,113
car (1083).JPEG,259,194,intense_damage,23,31,221,165
car (1084).JPEG,293,172,dent,178,70,227,131
car (1085).JPEG,275,183,intense_damage,22,30,154,183
car (1086).JPEG,275,183,intense_damage,70,10,160,90
car (1087).JPEG,259,194,intense_damage,71,7,177,80
car (1088).JPEG,259,194,dent,139,100,187,133
car (1088).JPEG,259,194,intense_damage,94,44,170,106
car (1088).JPEG,259,194,dent,162,35,224,62
car (1089).JPEG,300,168,intense_damage,59,27,247,123
car (109).JPEG,269,187,intense_damage,34,71,232,121
car (1090).JPEG,300,168,intense_damage,113,45,279,132
car (1091).JPEG,225,225,dent,145,47,212,87
car (1092).JPEG,275,183,dent,89,0,170,101
car (1092).JPEG,275,183,intense_damage,33,46,99,112
car (1092).JPEG,275,183,scratch,16,146,42,170
car (1093).JPEG,259,194,intense_damage,32,50,214,156
car (1094).JPEG,259,194,intense_damage,94,45,175,84
car (1095).JPEG,259,194,dent,101,42,138,118
car (1095).JPEG,259,194,scratch,155,110,259,158
car (1096).JPEG,299,168,scratch,156,65,192,84
car (1096).JPEG,299,168,intense_damage,132,36,182,62
car (1097).JPEG,259,194,intense_damage,65,57,182,106
car (1098).JPEG,299,168,dent,120,29,218,114
car (1099).JPEG,299,168,intense_damage,83,12,235,133
car (11).jpg,276,183,dent,157,41,217,98
car (110).JPEG,299,168,intense_damage,0,0,142,120
car (1100).JPEG,226,223,dent,131,85,207,143
car (1101).JPEG,259,194,dent,65,22,163,61
car (1101).JPEG,259,194,dent,154,55,248,110
car (1102).JPEG,259,194,dent,83,54,117,94
car (1102).JPEG,259,194,dent,151,60,179,98
car (1103).JPEG,275,183,dent,90,103,145,162
car (1103).JPEG,275,183,intense_damage,159,107,188,131
car (1103).JPEG,275,183,intense_damage,141,147,223,180
car (1104).JPEG,275,184,dent,102,73,182,113
car (1105).JPEG,264,191,intense_damage,91,46,190,92
car (1106).JPEG,336,150,intense_damage,102,59,257,114
car (1106).JPEG,336,150,scratch,271,70,329,115
car (1107).JPEG,300,168,intense_damage,112,42,198,103
car (1108).JPEG,259,194,intense_damage,91,121,134,156
car (1108).JPEG,259,194,intense_damage,99,62,181,109
car (1109).JPEG,268,188,dent,79,79,136,92
car (1109).JPEG,268,188,dent,206,92,222,114
car (1109).JPEG,268,188,dent,168,91,187,111
car (111).JPEG,276,183,intense_damage,83,63,132,110
car (1110).JPEG,308,164,intense_damage,183,59,276,145
car (1111).JPEG,266,189,scratch,70,125,109,172
car (1111).JPEG,266,189,scratch,142,88,256,149
car (1111).JPEG,266,189,intense_damage,201,44,255,146
car (1111).JPEG,266,189,dent,59,62,129,123
car (1112).JPEG,299,168,intense_damage,36,12,153,67
car (1113).JPEG,275,183,intense_damage,38,17,172,141
car (1114).JPEG,260,194,dent,138,73,236,131
car (1115).JPEG,299,168,intense_damage,88,6,243,90
car (1116).JPEG,259,194,dent,130,75,232,129
car (1116).JPEG,259,194,intense_damage,66,34,112,80
car (1117).JPEG,259,194,intense_damage,47,17,199,100
car (1118).JPEG,259,194,dent,86,109,132,165
car (1118).JPEG,259,194,intense_damage,129,96,221,147
car (1119).JPEG,275,183,dent,70,85,148,135
car (1119).JPEG,275,183,scratch,95,98,193,137
car (112).JPEG,259,194,intense_damage,54,62,201,163
car (1120).JPEG,259,194,scratch,74,156,155,194
car (1120).JPEG,259,194,intense_damage,77,67,259,159
car (1121).JPEG,259,194,dent,98,67,181,141
car (1121).JPEG,259,194,scratch,61,80,95,152
car (1122).JPEG,277,182,intense_damage,15,52,191,143
car (1124).JPEG,260,194,dent,64,72,125,140
car (1124).JPEG,260,194,scratch,127,75,174,160
car (1125).JPEG,259,194,intense_damage,105,54,246,183
car (1126).JPEG,277,182,intense_damage,123,85,172,119
car (1126).JPEG,277,182,intense_damage,169,32,261,84
car (1126).JPEG,277,182,intense_damage,90,71,111,88
car (1127).JPEG,259,194,intense_damage,111,137,137,156
car (1127).JPEG,259,194,intense_damage,29,94,60,111
car (1127).JPEG,259,194,intense_damage,83,74,141,111
car (1128).JPEG,267,189,dent,146,36,201,94
car (1129).JPEG,259,194,dent,55,41,224,160
car (113).JPEG,260,194,intense_damage,23,15,188,121
car (1130).JPEG,259,194,dent,48,41,180,139
car (1131).jpeg,259,194,dent,126,73,189,136
car (1132).JPEG,259,194,dent,137,30,194,128
car (1132).JPEG,259,194,dent,63,97,130,167
car (1132).JPEG,259,194,scratch,89,123,122,151
car (1133).JPEG,280,180,scratch,110,116,133,149
car (1133).JPEG,280,180,dent,84,80,155,155
car (1133).JPEG,280,180,scratch,140,112,176,141
car (1133).JPEG,280,180,scratch,63,113,91,164
car (1134).jpeg,303,166,dent,96,72,218,134
car (1134).jpeg,303,166,dent,131,37,196,86
car (1135).JPEG,259,194,dent,81,42,159,96
car (1135).JPEG,259,194,dent,167,38,251,89
car (1135).JPEG,259,194,scratch,61,126,86,183
car (1136).JPEG,259,195,intense_damage,121,108,160,148
car (1136).JPEG,259,195,dent,135,78,186,109
car (1136).JPEG,259,195,intense_damage,207,81,220,120
car (1137).JPEG,267,189,dent,159,40,197,99
car (1138).JPEG,194,259,scratch,92,54,109,108
car (1138).JPEG,194,259,scratch,111,61,162,83
car (1138).JPEG,194,259,dent,2,20,43,131
car (1138).JPEG,194,259,intense_damage,39,16,90,157
car (1138).JPEG,194,259,scratch,129,109,193,133
car (1139).JPEG,275,183,scratch,14,85,49,120
car (1139).JPEG,275,183,dent,87,37,171,87
car (1139).JPEG,275,183,intense_damage,129,89,179,135
car (114).JPEG,259,194,intense_damage,81,57,182,110
car (114).JPEG,259,194,scratch,59,129,126,158
car (1140).JPEG,283,178,dent,60,48,155,158
car (1141).JPEG,259,195,dent,161,72,196,115
car (1142).jpeg,259,194,dent,71,77,157,125
car (1143).JPEG,165,306,intense_damage,5,32,150,159
car (1143).JPEG,165,306,dent,56,195,153,266
car (1144).JPEG,259,194,scratch,144,112,192,129
car (1144).JPEG,259,194,scratch,187,94,211,113
car (1144).JPEG,259,194,intense_damage,95,52,218,108
car (1144).JPEG,259,194,scratch,173,50,213,67
car (1145).JPEG,179,281,intense_damage,48,84,142,233
car (1146).JPEG,259,194,intense_damage,156,86,204,119
car (1146).JPEG,259,194,intense_damage,68,66,149,105
car (1147).jpeg,259,195,intense_damage,24,50,122,107
car (1148).JPEG,269,188,intense_damage,104,45,218,90
car (1149).JPEG,269,188,intense_damage,66,6,177,87
car (115).JPEG,220,229,scratch,78,17,112,51
car (115).JPEG,220,229,scratch,121,61,209,114
car (115).JPEG,220,229,scratch,160,113,220,212
car (1150).jpeg,259,194,dent,96,79,120,107
car (1150).jpeg,259,194,intense_damage,124,91,197,175
car (1151).JPEG,299,168,intense_damage,145,9,201,55
car (1152).JPEG,266,189,intense_damage,47,20,223,137
car (1153).JPEG,266,189,intense_damage,70,56,214,92
car (1154).jpeg,300,168,intense_damage,77,55,190,120
car (1155).jpeg,299,168,intense_damage,7,53,87,122
car (1156).JPEG,259,194,intense_damage,117,39,236,78
car (1157).jpeg,245,205,intense_damage,11,136,199,198
car (1157).jpeg,245,205,intense_damage,159,74,202,136
car (1158).JPEG,259,194,intense_damage,44,86,142,159
car (1159).jpeg,259,195,intense_damage,116,69,165,135
car (116).JPEG,259,194,scratch,39,76,163,115
car (1160).JPEG,259,194,scratch,74,106,97,124
car (1160).JPEG,259,194,dent,72,39,93,62
car (1161).JPEG,300,168,intense_damage,139,76,194,107
car (1161).JPEG,300,168,dent,153,108,197,147
car (1163).JPEG,266,190,intense_damage,10,85,32,110
car (1163).JPEG,266,190,intense_damage,69,76,167,127
car (1164).JPEG,260,194,dent,118,11,188,61
car (1164).JPEG,260,194,intense_damage,96,44,176,111
car (1164).JPEG,260,194,intense_damage,25,1,95,97
car (1165).jpeg,299,168,dent,75,53,136,98
car (1166).JPEG,259,194,scratch,61,89,243,129
car (1166).JPEG,259,194,intense_damage,31,33,248,76
car (1167).JPEG,300,168,intense_damage,111,18,197,43
car (1167).JPEG,300,168,intense_damage,81,42,228,98
car (1168).JPEG,264,191,intense_damage,12,67,104,107
car (1168).JPEG,264,191,dent,139,86,165,102
car (1169).JPEG,244,207,intense_damage,44,91,86,157
car (117).JPEG,194,260,scratch,129,171,160,190
car (117).JPEG,194,260,scratch,82,173,124,191
car (1170).JPEG,260,194,intense_damage,106,95,149,138
car (1170).JPEG,260,194,scratch,121,85,186,113
car (1171).JPEG,259,194,scratch,163,134,181,156
car (1171).JPEG,259,194,scratch,175,111,193,132
car (1171).JPEG,259,194,dent,146,72,187,110
car (1172).JPEG,259,194,intense_damage,41,88,218,173
car (1173).JPEG,300,168,intense_damage,82,54,165,124
car (1173).JPEG,300,168,intense_damage,167,2,206,43
car (1173).JPEG,300,168,dent,158,43,201,85
car (1174).JPEG,275,183,intense_damage,4,80,57,136
car (1175).JPEG,258,196,intense_damage,17,44,249,192
car (1176).JPEG,259,194,intense_damage,35,70,162,140
car (1177).JPEG,259,194,intense_damage,89,61,195,98
car (1178).JPEG,259,194,scratch,203,61,242,85
car (1179).JPEG,259,195,intense_damage,5,27,198,94
car (118).JPEG,285,177,intense_damage,77,80,132,104
car (118).JPEG,285,177,intense_damage,62,120,107,157
car (1180).JPEG,299,168,intense_damage,137,86,198,146
car (1181).JPEG,259,194,dent,66,102,171,194
car (1181).JPEG,259,194,intense_damage,106,19,242,97
car (1182).JPEG,290,173,intense_damage,56,40,98,104
car (1183).JPEG,275,183,dent,83,98,161,177
car (1183).JPEG,275,183,intense_damage,103,0,168,90
car (1184).JPEG,273,185,intense_damage,209,115,268,141
car (1185).JPEG,276,183,intense_damage,86,88,155,156
car (1186).JPEG,263,192,intense_damage,121,31,251,143
car (1187).JPEG,275,183,intense_damage,42,20,152,125
car (1188).JPEG,259,194,intense_damage,113,35,197,90
car (1188).JPEG,259,194,intense_damage,10,94,126,177
car (1189).JPEG,294,171,intense_damage,38,47,96,138
car (119).jpeg,216,233,intense_damage,27,101,170,174
car (1190).JPEG,259,194,dent,62,91,95,120
car (1191).JPEG,274,184,intense_damage,213,33,251,63
car (1191).JPEG,274,184,intense_damage,3,22,119,104
car (1192).JPEG,260,194,intense_damage,81,55,188,94
car (1193).JPEG,259,194,intense_damage,17,73,122,141
car (1193).JPEG,259,194,scratch,131,102,148,125
car (1194).JPEG,300,168,intense_damage,115,68,181,106
car (1194).JPEG,300,168,intense_damage,173,13,239,80
car (1195).JPEG,268,188,intense_damage,113,39,194,161
car (1196).JPEG,259,194,dent,75,88,107,120
car (1196).JPEG,259,194,dent,45,73,72,118
car (1197).JPEG,300,168,dent,5,19,32,57
car (1197).JPEG,300,168,dent,96,14,170,49
car (1197).JPEG,300,168,dent,67,104,145,141
car (1197).JPEG,300,168,dent,31,60,72,118
car (1198).jpeg,275,183,scratch,100,124,125,137
car (1198).jpeg,275,183,intense_damage,86,61,236,112
car (1199).JPEG,259,194,intense_damage,81,125,155,149
car (12).jpg,276,182,dent,130,59,193,116
car (120).JPEG,259,194,intense_damage,37,59,138,178
car (1200).JPEG,259,194,intense_damage,60,93,232,151
car (1201).JPEG,275,183,scratch,117,96,128,105
car (1201).JPEG,275,183,intense_damage,8,88,99,127
car (1201).JPEG,275,183,dent,106,86,138,112
car (1202).JPEG,275,183,intense_damage,75,37,197,161
car (1203).JPEG,204,247,dent,93,155,131,198
car (1203).JPEG,204,247,intense_damage,44,89,186,151
car (1204).JPEG,283,178,intense_damage,20,67,108,100
car (1204).JPEG,283,178,dent,4,115,26,134
car (1204).JPEG,283,178,dent,87,105,118,134
car (1204).JPEG,283,178,dent,23,108,49,131
car (1205).JPEG,259,194,intense_damage,28,51,171,93
car (1206).JPEG,300,168,dent,166,45,216,106
car (1206).JPEG,300,168,dent,220,42,253,106
car (1207).JPEG,276,183,dent,72,100,102,115
car (1207).JPEG,276,183,intense_damage,4,97,104,147
car (1208).JPEG,260,194,scratch,105,136,141,155
car (1208).JPEG,260,194,dent,79,91,139,129
car (1209).JPEG,268,188,intense_damage,118,39,254,87
car (1209).JPEG,268,188,dent,181,95,254,146
car (1209).JPEG,268,188,dent,90,94,151,137
car (121).JPEG,268,188,intense_damage,72,23,166,115
car (1210).JPEG,290,174,intense_damage,176,52,244,100
car (1211).JPEG,265,190,intense_damage,100,6,262,155
car (1212).JPEG,268,188,intense_damage,73,30,155,141
car (1213).jpeg,259,194,intense_damage,22,46,230,115
car (1214).JPEG,284,177,intense_damage,43,48,126,127
car (1215).JPEG,268,188,intense_damage,85,78,138,157
car (1216).JPEG,300,168,intense_damage,59,30,217,168
car (1217).JPEG,299,168,dent,146,40,211,117
car (1218).JPEG,259,194,dent,15,56,49,102
car (1219).JPEG,259,194,dent,38,34,95,75
car (122).JPEG,259,194,intense_damage,68,31,214,107
car (1220).JPEG,284,177,intense_damage,93,99,157,167
car (1221).JPEG,233,216,scratch,73,103,117,147
car (1221).JPEG,233,216,dent,89,79,173,173
car (1221).JPEG,233,216,dent,46,17,109,101
car (1222).JPEG,269,187,intense_damage,28,67,242,135
car (1223).JPEG,299,168,intense_damage,15,17,157,130
car (1224).JPEG,259,194,intense_damage,73,53,186,120
car (1225).JPEG,225,225,intense_damage,76,68,205,149
car (1226).JPEG,285,177,dent,145,112,165,127
car (1226).JPEG,285,177,intense_damage,174,89,192,111
car (1226).JPEG,285,177,intense_damage,85,79,126,104
car (1226).JPEG,285,177,intense_damage,64,120,106,157
car (1227).JPEG,259,194,intense_damage,182,4,248,80
car (1227).JPEG,259,194,intense_damage,67,91,159,158
car (1228).JPEG,259,194,intense_damage,37,22,218,121
car (1229).JPEG,259,194,intense_damage,40,35,213,105
car (1229).JPEG,259,194,scratch,223,73,259,98
car (123).JPEG,259,194,intense_damage,21,62,115,141
car (1230).JPEG,259,194,intense_damage,59,71,153,138
car (1231).JPEG,269,188,dent,191,47,240,77
car (1231).JPEG,269,188,intense_damage,43,0,200,155
car (1231).JPEG,269,188,scratch,202,49,237,59
car (1232).JPEG,292,172,dent,183,98,233,113
car (1232).JPEG,292,172,intense_damage,128,93,163,147
car (1233).JPEG,180,281,intense_damage,59,56,158,180
car (1234).JPEG,292,173,intense_damage,141,54,185,100
car (1234).JPEG,292,173,intense_damage,37,52,64,92
car (1235).JPEG,259,194,intense_damage,52,75,141,123
car (1236).JPEG,269,187,intense_damage,12,53,178,112
car (1237).JPEG,259,195,dent,179,56,218,105
car (1237).JPEG,259,195,dent,56,23,114,98
car (1238).JPEG,194,259,dent,88,80,143,116
car (1238).JPEG,194,259,intense_damage,24,109,189,169
car (1239).JPEG,299,168,intense_damage,123,110,167,157
car (124).JPEG,259,194,intense_damage,48,33,202,109
car (124).JPEG,259,194,scratch,225,76,257,102
car (1240).JPEG,258,196,dent,21,55,60,91
car (1240).JPEG,258,196,dent,35,98,74,131
car (1240).JPEG,258,196,dent,104,89,152,134
car (1241).JPEG,259,194,intense_damage,197,63,251,116
car (1242).JPEG,264,191,intense_damage,32,63,149,148
car (1242).JPEG,264,191,scratch,40,115,130,162
car (1242).JPEG,264,191,dent,88,49,214,82
car (1243).JPEG,180,281,dent,89,85,128,105
car (1243).JPEG,180,281,intense_damage,46,12,155,84
car (1244).JPEG,259,194,intense_damage,57,31,254,153
car (1245).JPEG,225,225,intense_damage,17,95,46,150
car (1245).JPEG,225,225,intense_damage,51,152,187,193
car (1246).JPEG,269,188,intense_damage,150,81,191,123
car (1246).JPEG,269,188,intense_damage,67,19,188,79
car (1247).JPEG,260,194,dent,119,47,163,79
car (1247).JPEG,260,194,dent,76,81,117,123
car (1248).JPEG,259,194,intense_damage,72,132,97,157
car (1249).JPEG,261,193,intense_damage,15,124,246,175
car (125).JPEG,259,194,dent,72,30,206,106
car (1250).JPEG,180,281,intense_damage,7,32,161,134
car (1251).JPEG,176,286,intense_damage,67,114,122,250
car (1252).JPEG,264,191,intense_damage,123,0,264,61
car (1252).JPEG,264,191,scratch,17,58,43,124
car (1252).JPEG,264,191,scratch,46,22,82,54
car (1252).JPEG,264,191,scratch,198,50,264,146
car (1252).JPEG,264,191,dent,46,1,122,31
car (1253).JPEG,300,168,intense_damage,128,52,235,154
car (1254).JPEG,194,259,intense_damage,2,105,185,189
car (1255).JPEG,261,193,intense_damage,87,67,160,133
car (1255).JPEG,261,193,intense_damage,163,72,225,136
car (1256).JPEG,255,198,dent,93,118,109,137
car (1256).JPEG,255,198,dent,173,112,205,147
car (1256).JPEG,255,198,dent,137,103,167,137
car (1256).JPEG,255,198,intense_damage,109,71,225,119
car (1256).JPEG,255,198,scratch,107,123,125,139
car (1256).JPEG,255,198,dent,51,109,88,127
car (1257).JPEG,266,189,intense_damage,86,7,154,138
car (1257).JPEG,266,189,dent,166,87,247,117
car (1257).JPEG,266,189,intense_damage,143,3,255,77
car (1258).JPEG,266,190,intense_damage,180,57,246,137
car (1258).JPEG,266,190,intense_damage,33,27,133,163
car (1259).JPEG,259,195,dent,68,94,163,138
car (1259).JPEG,259,195,scratch,18,119,221,172
car (1259).JPEG,259,195,intense_damage,18,61,164,111
car (1259).JPEG,259,195,dent,211,80,250,115
car (126).JPEG,259,195,dent,165,81,193,108
car (126).JPEG,259,195,dent,93,60,141,102
car (1260).JPEG,275,183,intense_damage,70,43,237,116
car (1261).JPEG,225,225,intense_damage,81,83,122,119
car (1261).JPEG,225,225,intense_damage,123,85,225,188
car (1261).JPEG,225,225,scratch,47,131,113,215
car (1262).JPEG,266,190,intense_damage,43,27,154,172
car (1263).JPEG,359,140,scratch,153,97,173,116
car (1263).JPEG,359,140,dent,204,101,218,119
car (1263).JPEG,359,140,dent,171,102,190,118
car (1263).JPEG,359,140,intense_damage,175,73,217,95
car (1263).JPEG,359,140,scratch,218,88,227,115
car (1263).JPEG,359,140,scratch,257,88,275,111
car (1264).JPEG,258,196,dent,115,79,187,102
car (1264).JPEG,258,196,dent,88,68,105,100
car (1264).JPEG,258,196,dent,178,67,203,85
car (1265).JPEG,275,183,intense_damage,148,96,195,131
car (1265).JPEG,275,183,intense_damage,71,102,117,136
car (1266).JPEG,300,168,scratch,109,106,121,121
car (1266).JPEG,300,168,scratch,155,99,191,112
car (1266).JPEG,300,168,scratch,187,73,225,88
car (1266).JPEG,300,168,scratch,125,84,166,92
car (1266).JPEG,300,168,intense_damage,94,59,182,95
car (1267).JPEG,299,168,intense_damage,130,59,246,145
car (1268).JPEG,267,189,intense_damage,41,55,172,153
car (1269).JPEG,290,173,intense_damage,83,14,246,171
car (127).JPEG,259,194,intense_damage,61,29,241,164
car (1270).JPEG,294,171,intense_damage,63,0,145,26
car (1270).JPEG,294,171,dent,60,22,152,53
car (1270).JPEG,294,171,intense_damage,41,71,93,109
car (1270).JPEG,294,171,intense_damage,106,83,241,144
car (1271).JPEG,259,194,intense_damage,105,68,210,156
car (1272).JPEG,259,194,intense_damage,138,84,205,136
car (1273).jpeg,299,168,intense_damage,231,56,297,123
car (1273).jpeg,299,168,dent,188,73,230,98
car (1273).jpeg,299,168,dent,128,68,161,114
car (1273).jpeg,299,168,intense_damage,18,68,81,118
car (1273).jpeg,299,168,dent,210,114,255,152
car (1274).JPEG,259,194,intense_damage,84,37,188,119
